Rk,School,G,Pts,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_1D,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Year
16,Michigan,13,19.4,12.5,25.4,49.4,141.8,1.0,34.6,133.5,3.9,1.2,60.0,275.2,4.6,6.2,6.9,2.7,15.8,5.8,56.0,0.5,0.8,1.3,2018
17,Utah,14,19.4,19.4,33.4,58.1,215.3,1.3,34.5,101.4,2.9,1.0,67.9,316.6,4.7,9.2,5.9,2.0,17.1,4.6,44.0,0.4,1.1,1.5,2018
18,Miami (FL),13,19.5,13.0,24.4,53.3,135.6,0.8,40.2,143.1,3.6,1.2,64.5,278.7,4.3,6.2,8.2,1.4,15.8,4.8,47.0,0.7,1.2,1.9,2018
19,Southern Mississippi,11,19.8,16.3,30.5,53.4,175.6,1.2,30.5,102.9,3.4,0.9,61.0,278.5,4.6,8.1,5.4,1.2,14.6,5.1,50.6,0.8,1.3,2.1,2018
20,Florida,13,20.0,15.8,29.2,54.2,178.9,1.2,37.6,159.8,4.2,1.0,66.8,338.7,5.1,7.6,8.1,2.1,17.8,6.7,52.4,0.8,1.1,1.9,2018
21,Virginia,13,20.1,15.1,28.7,52.5,183.0,0.9,34.0,147.5,4.3,1.2,62.7,330.5,5.3,8.4,7.1,0.9,16.3,5.5,52.1,0.3,1.3,1.6,2018
22,California,13,20.4,17.2,29.8,57.6,174.8,1.0,39.3,142.3,3.6,1.0,69.1,317.2,4.6,7.9,8.2,1.4,17.5,6.2,54.6,0.5,1.6,2.2,2018
23,Penn State,13,20.5,17.2,32.0,53.6,181.5,1.1,42.2,169.0,4.0,1.2,74.2,350.5,4.7,8.8,9.4,1.8,20.0,7.4,66.8,0.5,1.0,1.5,2018
24,Brigham Young,13,21.4,19.9,33.0,60.4,193.6,1.0,35.5,130.5,3.7,1.7,68.5,324.1,4.7,9.2,7.8,1.5,18.5,6.1,49.3,0.7,0.7,1.4,2018
25,Georgia Southern,13,21.5,18.4,29.7,61.9,216.5,1.1,35.7,140.6,3.9,1.6,65.4,357.2,5.5,9.5,7.9,1.3,18.7,5.5,46.7,0.9,1.2,2.1,2018
26,LSU,13,21.8,17.2,34.5,49.7,200.1,1.4,35.8,138.6,3.9,1.2,70.4,338.7,4.8,8.9,8.2,2.4,19.5,7.8,69.7,0.6,1.3,1.9,2018
27,Marshall,13,21.8,19.7,34.9,56.4,234.5,1.3,35.3,104.2,3.0,1.1,70.2,338.7,4.8,10.0,6.1,2.5,18.6,6.5,54.3,0.9,0.9,1.8,2018
28,Troy,13,22.0,17.5,29.8,58.5,219.2,1.5,39.1,128.7,3.3,1.2,68.9,347.9,5.0,9.3,7.8,1.5,18.5,5.8,52.4,1.0,1.4,2.4,2018
29,Wyoming,12,22.0,20.1,32.8,61.2,196.7,1.3,35.3,129.5,3.7,1.4,68.2,326.2,4.8,9.3,8.0,1.3,18.6,5.9,48.1,0.4,0.8,1.3,2018
30,Boise State,13,22.1,18.5,29.4,62.8,233.0,1.3,33.7,122.9,3.6,1.2,63.1,355.9,5.6,9.5,7.0,1.4,17.8,6.0,45.8,1.3,0.5,1.8,2018
31,Eastern Michigan,13,22.1,14.5,26.3,55.3,150.2,0.9,44.5,204.4,4.6,1.5,70.8,354.6,5.0,6.2,10.4,2.2,18.8,7.1,64.9,0.8,1.0,1.8,2018
32,San Diego State,13,22.2,18.6,30.8,60.3,230.8,1.4,34.8,103.8,3.0,1.2,65.7,334.6,5.1,9.2,5.9,1.5,16.6,4.5,42.1,0.4,0.8,1.2,2018
33,Utah State,13,22.2,18.8,35.0,53.6,236.5,1.4,40.8,143.2,3.5,0.9,75.8,379.6,5.0,9.5,7.7,2.4,19.5,7.1,61.8,0.8,1.7,2.5,2018
34,Northern Illinois,14,22.6,19.4,34.2,56.8,247.8,1.2,40.5,109.2,2.7,1.1,74.7,357.0,4.8,11.5,6.3,2.6,20.4,5.9,45.2,0.8,0.6,1.4,2018
35,Wisconsin,13,22.6,16.1,27.8,57.9,189.1,1.1,34.9,155.1,4.4,1.3,62.7,344.2,5.5,8.3,7.5,1.8,17.7,3.4,32.4,0.8,1.1,1.9,2018
36,UCF,13,22.7,17.6,31.8,55.4,211.4,1.2,47.4,224.3,4.7,1.3,79.2,435.7,5.5,9.4,12.3,1.8,23.5,8.0,74.2,1.1,1.1,2.2,2018
37,Iowa State,13,22.9,21.2,33.8,62.7,234.2,1.8,35.2,115.0,3.3,0.8,69.1,349.2,5.1,10.6,7.5,0.8,18.9,6.2,60.5,0.6,0.6,1.2,2018
38,Stanford,13,22.9,21.8,35.8,60.7,264.0,1.1,36.6,146.1,4.0,1.3,72.5,410.1,5.7,11.8,7.9,1.2,20.9,6.3,61.2,0.5,0.8,1.3,2018
39,Louisiana Tech,13,23.0,16.9,29.9,56.6,191.6,1.2,37.8,149.7,4.0,1.8,67.7,341.3,5.0,8.7,8.9,1.5,19.1,5.6,56.9,0.7,1.0,1.7,2018
40,TCU,13,23.1,17.4,31.3,55.5,199.6,1.3,38.4,138.6,3.6,1.5,69.7,338.2,4.9,8.9,8.5,1.2,18.6,5.6,44.2,0.7,0.9,1.6,2018
41,Northwestern,14,23.2,23.1,36.0,64.1,261.2,1.5,34.1,129.6,3.8,1.0,70.1,390.9,5.6,11.5,7.4,0.9,19.8,7.1,67.6,0.9,0.9,1.8,2018
42,Washington State,13,23.3,17.8,30.1,59.1,216.9,1.3,34.3,142.0,4.1,1.6,64.4,358.9,5.6,9.0,7.8,2.7,19.5,7.2,60.4,0.8,0.9,1.8,2018
43,North Texas,13,24.2,19.1,36.0,53.0,254.8,1.4,34.4,119.8,3.5,1.5,70.4,374.6,5.3,10.5,6.7,1.7,18.8,5.8,56.5,0.3,1.4,1.7,2018
44,Ohio,13,24.6,19.7,32.5,60.7,253.8,1.8,31.5,137.0,4.3,1.3,64.0,390.8,6.1,10.6,7.7,1.4,19.7,7.5,68.5,1.2,1.2,2.4,2018
45,North Carolina State,13,24.9,20.5,34.9,58.8,261.1,1.4,31.2,131.5,4.2,1.4,66.1,392.6,5.9,10.3,6.8,1.4,18.5,6.8,53.7,0.7,0.8,1.5,2018
46,Florida International,13,25.2,17.3,28.7,60.3,194.1,1.5,39.1,192.7,4.9,1.5,67.8,386.8,5.7,8.9,11.2,2.1,22.2,4.7,45.2,0.4,1.3,1.7,2018
47,Texas A&M,13,25.3,18.8,30.9,60.7,253.2,2.0,29.5,95.2,3.2,1.1,60.4,348.4,5.8,9.5,5.8,1.6,17.0,6.7,56.7,0.3,0.5,0.8,2018
48,Kansas State,12,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158.0,4.9,1.2,67.7,403.8,6.0,11.6,8.3,1.3,21.0,5.8,50.8,0.7,0.9,1.6,2018
49,Oregon,13,25.4,19.8,34.8,56.9,241.6,1.8,38.5,146.7,3.8,1.0,73.3,388.3,5.3,11.4,7.8,1.8,21.0,5.6,42.8,0.5,1.3,1.8,2018
50,Arizona State,13,25.5,18.9,31.4,60.3,233.8,1.5,39.2,171.5,4.4,1.3,70.6,405.4,5.7,10.5,9.9,2.0,22.5,5.8,53.2,0.7,0.9,1.6,2018
51,Miami (OH),12,25.5,17.7,30.3,58.2,208.5,1.8,39.8,159.8,4.0,1.6,70.1,368.3,5.3,9.4,9.2,2.1,20.7,6.8,64.8,0.7,0.7,1.3,2018
52,Missouri,13,25.5,19.1,34.2,55.7,262.0,1.8,34.2,126.5,3.7,0.8,68.4,388.5,5.7,10.5,6.5,1.8,18.8,6.7,58.4,0.5,0.8,1.2,2018
53,Ohio State,14,25.5,19.4,34.9,55.6,245.2,1.3,34.9,158.8,4.6,1.8,69.8,404.0,5.8,10.3,7.4,2.6,20.3,5.8,55.8,0.9,0.8,1.6,2018
54,Arkansas State,13,25.6,14.8,26.0,57.1,177.8,1.8,40.3,191.6,4.8,1.6,66.3,369.4,5.6,6.8,9.2,1.9,17.8,6.3,58.4,0.6,0.9,1.5,2018
55,Boston College,12,25.7,20.8,36.8,56.6,247.8,1.4,40.8,154.4,3.8,1.6,77.6,402.3,5.2,11.3,8.5,1.6,21.4,5.3,41.7,0.7,1.5,2.2,2018
56,Air Force,12,25.8,16.7,27.2,61.3,244.0,1.9,33.8,116.9,3.5,1.4,61.0,360.9,5.9,10.1,6.3,1.0,17.4,5.9,51.4,0.6,0.6,1.2,2018
57,Buffalo,14,25.9,15.5,28.9,53.7,194.2,1.7,38.9,161.3,4.2,1.6,67.7,355.5,5.3,7.6,9.1,1.2,18.0,7.6,77.6,0.7,1.0,1.7,2018
58,Texas,14,25.9,21.5,35.4,60.8,262.3,1.9,34.7,131.4,3.8,1.3,70.1,393.6,5.6,11.3,7.4,1.9,20.6,6.4,67.6,0.6,0.9,1.4,2018
59,Minnesota,13,26.5,20.4,31.5,64.8,212.4,1.6,33.5,173.4,5.2,1.5,65.0,385.8,5.9,9.2,7.8,1.2,18.2,5.5,52.2,0.8,0.8,1.6,2018
60,Charlotte,12,26.6,18.3,27.7,66.0,231.7,1.7,30.6,105.4,3.4,1.4,58.3,337.1,5.8,9.7,5.3,1.4,16.4,4.5,41.8,0.6,0.8,1.3,2018
61,Vanderbilt,13,26.6,19.8,32.2,61.5,244.2,1.7,39.2,194.7,5.0,1.5,71.4,438.9,6.1,10.5,11.5,1.3,23.4,6.6,56.3,0.7,1.0,1.7,2018
62,Middle Tennessee State,14,26.7,17.7,30.9,57.4,213.2,1.9,38.4,165.1,4.3,1.2,69.3,378.4,5.5,8.7,9.2,2.1,20.0,5.9,51.1,0.6,1.1,1.7,2018
63,Nevada,13,26.9,20.5,34.5,59.2,245.5,2.2,39.2,142.0,3.6,1.1,73.8,387.5,5.3,10.6,7.2,1.8,19.7,6.4,54.0,0.8,0.8,1.7,2018
64,Syracuse,13,27.0,19.6,35.6,55.1,264.1,1.5,37.5,162.5,4.3,1.5,73.2,426.5,5.8,10.2,8.0,1.7,19.9,7.6,61.5,1.0,1.4,2.4,2018
65,USC,12,27.0,19.9,33.9,58.7,223.3,1.7,38.3,164.8,4.3,1.7,72.2,388.1,5.4,10.7,7.8,2.0,20.5,5.8,56.9,0.5,0.3,0.8,2018
66,Temple,13,27.1,18.5,33.7,55.0,187.4,1.8,45.8,187.1,4.1,1.7,79.5,374.5,4.7,8.9,10.9,3.0,22.8,6.4,51.4,1.0,1.4,2.4,2018
67,Akron,12,27.2,18.5,30.6,60.5,191.1,1.1,44.2,200.9,4.5,1.9,74.8,392.0,5.2,9.3,10.6,1.5,21.3,6.3,63.3,0.9,0.8,1.8,2018
68,South Carolina,13,27.2,20.2,32.5,62.1,229.0,0.9,43.5,199.5,4.6,2.2,75.9,428.5,5.6,11.6,11.8,2.1,25.5,6.5,58.9,0.7,0.5,1.2,2018
69,West Virginia,12,27.2,20.6,32.4,63.5,258.7,1.8,37.1,148.2,4.0,1.3,69.5,406.8,5.9,10.9,9.6,1.6,22.1,6.8,60.1,0.8,1.3,2.0,2018
70,Central Michigan,12,27.3,14.5,25.5,56.9,150.7,0.9,46.2,204.7,4.4,2.3,71.7,355.3,5.0,7.8,10.3,2.4,20.4,5.9,58.3,1.0,0.8,1.8,2018
71,Colorado,12,27.3,19.0,33.6,56.6,233.8,1.9,39.0,146.5,3.8,1.0,72.6,380.3,5.2,9.7,8.3,2.3,20.3,7.2,64.6,0.6,0.7,1.3,2018
72,Duke,13,27.4,17.6,32.1,54.9,199.5,1.3,42.0,209.3,5.0,2.1,74.1,408.8,5.5,9.5,10.3,1.1,20.9,5.4,52.8,0.7,0.3,1.0,2018
73,Tulane,13,27.5,18.4,35.2,52.3,258.2,1.9,38.0,148.5,3.9,1.5,73.2,406.8,5.6,11.2,8.2,2.2,21.5,6.3,56.7,0.5,0.9,1.4,2018
74,Texas State,12,27.7,18.7,32.3,57.9,201.6,1.3,40.1,182.3,4.5,1.6,72.3,383.9,5.3,8.9,8.3,1.3,18.4,5.6,51.2,1.0,0.5,1.5,2018
75,Pitt,14,27.8,16.4,29.3,55.9,209.3,1.7,36.9,179.1,4.9,1.7,66.2,388.4,5.9,8.9,9.0,2.1,20.0,5.1,40.9,0.6,0.6,1.3,2018
76,Western Kentucky,12,27.8,19.0,33.8,56.2,248.8,1.4,37.8,173.7,4.6,1.6,71.7,422.4,5.9,10.6,9.3,1.8,21.7,5.9,60.9,0.5,1.0,1.5,2018
77,Tennessee,12,27.9,18.4,29.2,63.1,222.9,1.8,37.3,155.2,4.2,1.7,66.4,378.1,5.7,10.3,8.6,1.3,20.3,5.7,42.9,0.5,0.8,1.3,2018
78,Maryland,12,28.7,15.3,28.3,54.3,206.5,1.6,42.0,183.9,4.4,1.7,70.3,390.4,5.6,8.6,10.2,2.8,21.5,4.8,42.3,0.4,1.5,1.9,2018
79,Georgia Tech,13,29.3,18.1,27.9,64.7,211.3,1.8,34.0,158.3,4.7,1.7,61.9,369.6,6.0,9.6,9.6,0.9,20.2,4.3,35.3,0.9,0.9,1.8,2018
80,Tulsa,12,29.6,15.0,25.8,58.1,174.6,0.9,46.1,234.3,5.1,2.2,71.9,408.9,5.7,7.9,11.3,2.3,21.5,6.7,56.8,0.9,0.8,1.7,2018
81,Indiana,12,29.9,18.8,30.8,61.0,240.6,2.3,39.9,183.2,4.6,1.4,70.7,423.8,6.0,10.8,9.6,2.3,22.7,6.7,66.6,1.1,1.1,2.2,2018
82,Kansas,12,30.0,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6.0,55.3,0.9,1.3,2.3,2018
83,Purdue,13,30.0,23.2,37.2,62.3,284.7,1.7,38.4,167.9,4.4,1.9,75.5,452.6,6.0,12.5,9.1,2.0,23.6,7.4,70.7,0.2,0.8,1.1,2018
84,Toledo,13,30.5,21.8,35.8,60.9,255.1,1.5,38.2,177.2,4.6,2.4,73.9,432.3,5.8,10.8,8.9,2.4,22.1,7.7,70.9,0.7,0.9,1.6,2018
85,Virginia Tech,13,31.0,17.9,30.1,59.6,228.4,1.4,38.5,210.3,5.5,2.5,68.6,438.7,6.4,9.2,9.4,1.7,20.3,6.5,45.2,0.9,0.5,1.5,2018
86,Texas Tech,12,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6.0,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1.0,1.5,2018
87,UTSA,12,31.2,19.1,29.2,65.4,275.3,2.1,38.6,160.5,4.2,1.7,67.8,435.8,6.4,11.6,8.3,1.1,21.0,6.5,61.2,0.8,0.8,1.6,2018
88,Nebraska,12,31.3,19.8,35.3,56.1,237.8,1.3,39.1,195.8,5.0,2.4,74.4,433.6,5.8,10.8,9.5,2.4,22.7,6.5,56.8,0.8,0.9,1.7,2018
89,Rutgers,12,31.4,16.4,29.5,55.6,187.1,1.8,40.8,214.4,5.3,2.1,70.3,401.5,5.7,9.3,9.6,2.3,21.2,6.5,63.0,0.5,0.8,1.3,2018
90,Florida State,12,31.5,20.6,37.8,54.5,267.7,2.5,41.8,149.6,3.6,1.3,79.5,417.3,5.2,11.3,8.5,2.1,21.9,5.8,50.6,0.3,1.0,1.3,2018
91,Baylor,13,31.7,19.0,31.5,60.2,241.3,1.9,33.7,183.6,5.4,1.9,65.2,424.9,6.5,9.8,8.9,1.8,20.5,6.2,56.2,0.2,0.5,0.8,2018
92,Florida Atlantic,12,31.8,20.1,31.5,63.8,238.4,1.8,40.3,186.1,4.6,2.3,71.8,424.5,5.9,11.8,9.2,1.8,23.0,4.0,39.4,0.3,0.9,1.2,2018
93,Louisiana-Monroe,12,31.8,19.9,27.8,71.8,247.1,2.1,40.3,182.7,4.5,1.6,68.1,429.8,6.3,10.8,9.7,1.9,22.3,6.7,60.2,0.5,0.4,0.9,2018
94,Memphis,14,31.9,19.7,34.4,57.4,256.4,1.7,42.0,171.8,4.1,2.2,76.4,428.1,5.6,11.1,9.1,2.0,22.2,6.3,55.4,0.9,0.6,1.5,2018
95,South Florida,13,32.0,15.5,28.1,55.3,199.1,1.2,48.3,248.2,5.1,2.8,76.4,447.3,5.9,9.0,12.3,1.9,23.2,6.2,51.9,0.8,0.8,1.6,2018
96,Ball State,12,32.4,19.1,29.4,64.9,210.4,1.1,46.6,240.0,5.2,3.0,76.0,450.4,5.9,10.4,12.2,2.1,24.7,7.0,61.7,0.5,1.0,1.5,2018
97,Oklahoma State,13,32.5,21.5,34.8,61.7,267.1,2.1,40.2,185.4,4.6,2.0,74.9,452.5,6.0,12.0,8.3,2.8,23.2,6.2,52.1,0.6,0.4,1.0,2018
98,Arizona,12,32.6,23.4,36.7,63.9,269.5,2.3,38.7,162.5,4.2,2.0,75.3,432.0,5.7,12.2,8.5,3.0,23.7,8.7,82.3,0.7,0.6,1.3,2018
99,UTEP,12,32.8,16.8,26.8,62.7,198.9,1.8,39.5,195.9,5.0,1.8,66.3,394.8,6.0,8.5,10.0,1.7,20.2,5.6,51.6,0.6,0.4,1.0,2018
100,Coastal Carolina,12,33.2,14.8,24.2,61.4,206.4,1.7,37.4,245.6,6.6,2.7,61.6,452.0,7.3,8.9,11.3,1.3,21.6,7.3,69.3,0.7,0.3,1.0,2018
101,Oklahoma,14,33.3,22.5,34.9,64.5,294.0,2.0,39.1,159.8,4.1,2.4,74.0,453.8,6.1,12.9,9.6,1.9,24.4,6.3,58.2,0.4,0.4,0.8,2018
102,Wake Forest,13,33.3,23.7,37.7,62.9,265.3,2.0,40.3,192.2,4.8,2.4,78.0,457.5,5.9,11.4,9.2,1.6,22.2,5.8,49.8,0.8,0.5,1.2,2018
103,Navy,13,33.5,18.8,27.7,68.1,234.8,1.8,37.3,192.2,5.2,2.5,65.0,427.1,6.6,10.6,9.5,0.7,20.8,3.5,30.5,0.9,0.7,1.6,2018
104,UCLA,12,34.1,18.8,30.9,60.9,245.5,1.6,42.9,200.1,4.7,2.6,73.8,445.6,6.0,11.3,10.1,2.1,23.4,5.4,47.5,0.6,0.9,1.5,2018
105,Louisiana,14,34.2,15.4,24.9,62.1,216.8,1.6,44.1,219.1,5.0,2.6,69.0,435.9,6.3,9.6,11.4,1.6,22.6,4.8,43.7,0.5,0.6,1.1,2018
106,North Carolina,11,34.5,17.8,31.5,56.6,228.8,1.5,43.4,218.8,5.0,2.5,74.8,447.6,6.0,10.0,10.7,1.9,22.6,5.0,40.6,0.9,0.6,1.5,2018
107,Western Michigan,13,34.5,15.8,25.4,62.1,220.8,2.3,37.2,166.2,4.5,2.1,62.5,386.9,6.2,9.5,8.6,1.5,19.6,6.5,54.4,0.8,0.7,1.5,2018
108,Arkansas,12,34.8,18.3,28.9,63.4,245.3,1.8,40.0,167.8,4.2,2.1,68.9,413.2,6.0,9.9,9.7,2.0,21.6,6.2,52.7,0.9,0.4,1.3,2018
109,Hawaii,14,35.1,17.3,28.1,61.4,235.1,2.0,41.6,204.6,4.9,2.5,69.7,439.7,6.3,10.1,9.9,1.2,21.2,7.2,70.2,0.5,0.4,0.9,2018
110,SMU,12,35.3,20.0,31.8,62.8,232.3,1.9,45.3,198.7,4.4,1.8,77.2,430.9,5.6,10.8,11.0,1.6,23.3,6.8,66.6,0.9,0.9,1.8,2018
111,Old Dominion,12,35.9,20.7,33.9,60.9,255.0,2.1,41.6,216.4,5.2,2.6,75.5,471.4,6.2,11.9,10.1,2.3,24.3,5.8,61.2,0.4,0.8,1.2,2018
112,Rice,13,36.0,19.0,30.2,63.0,280.1,2.2,34.5,165.6,4.8,2.4,64.7,445.7,6.9,12.0,8.2,1.3,21.5,4.2,34.5,0.8,0.6,1.4,2018
113,New Mexico,12,36.2,17.4,30.3,57.6,256.0,1.9,44.5,217.1,4.9,2.4,74.8,473.1,6.3,10.7,11.2,1.8,23.6,6.3,49.0,1.1,0.8,1.8,2018
114,Ole Miss,12,36.2,20.8,32.9,63.3,261.7,2.2,43.3,220.8,5.1,2.1,76.3,482.5,6.3,10.8,12.0,2.4,25.3,6.2,55.9,0.7,0.6,1.3,2018
115,San Jose State,12,36.6,21.0,34.8,60.3,283.9,2.6,44.7,211.3,4.7,1.9,79.5,495.3,6.2,11.2,10.8,1.8,24.1,6.3,51.8,0.6,1.1,1.7,2018
116,Kent State,12,36.7,17.3,29.3,59.3,247.0,1.7,45.1,220.7,4.9,3.2,74.3,467.7,6.3,10.2,9.8,2.3,22.3,7.5,71.7,0.8,0.8,1.6,2018
117,Colorado State,12,36.8,16.0,25.3,63.2,231.5,2.5,40.9,220.3,5.4,1.7,66.3,451.8,6.8,9.6,11.1,1.4,22.1,6.3,54.9,0.4,0.6,1.0,2018
118,Liberty,12,36.8,19.5,34.4,56.7,262.9,2.2,42.4,222.5,5.2,2.3,76.8,485.4,6.3,11.3,11.8,1.2,24.1,5.4,51.0,0.8,1.0,1.8,2018
119,Houston,13,37.2,21.5,36.2,59.4,275.5,1.5,47.2,221.3,4.7,3.2,83.4,496.8,6.0,12.4,11.7,1.7,25.8,7.2,63.5,0.7,1.1,1.8,2018
120,East Carolina,12,37.3,19.8,32.0,61.7,270.1,2.6,39.6,169.8,4.3,1.8,71.6,439.8,6.1,10.8,8.0,1.4,20.3,7.9,71.8,0.5,0.4,0.9,2018
121,UNLV,12,37.3,18.8,31.8,59.3,267.6,2.4,38.3,191.5,5.0,2.0,70.0,459.1,6.6,11.1,9.5,0.8,21.4,5.8,53.7,0.8,0.8,1.7,2018
122,Georgia State,12,37.4,18.3,25.1,72.8,238.5,2.2,38.1,251.0,6.6,2.5,63.2,489.5,7.7,10.3,9.4,1.3,21.0,5.9,49.7,0.3,0.5,0.8,2018
123,South Alabama,12,38.8,17.3,26.8,64.5,245.7,2.2,40.3,203.0,5.0,2.8,67.1,448.7,6.7,10.3,9.4,2.8,22.4,6.1,56.8,0.5,1.0,1.5,2018
124,Illinois,12,39.4,19.7,31.0,63.4,263.1,2.5,41.1,245.3,6.0,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6.0,58.8,0.4,1.3,1.7,2018
125,Bowling Green,12,40.0,11.4,21.8,52.5,168.8,1.8,47.6,281.7,5.9,3.4,69.3,450.5,6.5,6.6,14.7,2.2,23.4,6.6,63.4,0.7,0.5,1.2,2018
126,New Mexico State,12,41.3,16.0,27.0,59.3,207.5,1.7,52.8,269.3,5.1,3.2,79.8,476.8,6.0,9.4,13.8,1.4,24.7,7.2,67.3,0.8,0.6,1.4,2018
127,Massachusetts,12,42.9,14.9,23.3,63.9,210.0,2.1,46.6,275.8,5.9,3.2,69.9,485.8,6.9,8.6,13.8,1.5,23.9,4.2,36.0,0.7,1.0,1.7,2018
128,Louisville,12,44.1,15.6,24.2,64.5,206.3,2.1,46.0,278.8,6.1,3.3,70.2,485.0,6.9,9.1,12.7,1.5,23.3,5.5,51.8,0.6,0.5,1.1,2018
129,Oregon State,12,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282.0,6.8,3.1,72.3,536.9,7.4,11.1,13.0,1.5,25.6,5.2,47.3,0.4,0.3,0.7,2018
130,Connecticut,12,50.4,18.9,26.3,71.8,282.4,2.8,43.4,336.7,7.8,3.8,69.8,619.1,8.9,11.1,15.1,1.0,27.2,6.7,69.1,0.5,0.4,0.9,2018
1,Georgia,14,12.6,20.4,35.8,56.9,201.1,1.1,28.4,74.9,2.6,0.1,64.2,276.0,4.3,9.1,4.9,1.9,15.8,6.7,50.9,0.6,0.6,1.1,2019
2,San Diego State,13,12.7,20.4,34.5,59.2,212.3,0.8,27.3,75.5,2.8,0.6,61.8,287.8,4.7,8.8,5.2,1.3,15.2,5.6,44.4,0.7,1.4,2.1,2019
3,Clemson,15,13.5,15.4,28.9,53.3,172.3,0.9,35.6,116.3,3.3,0.6,64.5,288.5,4.5,7.2,6.1,1.3,14.6,5.8,54.9,0.7,1.3,2.0,2019
4,Ohio State,14,13.7,14.3,28.1,50.9,156.0,0.6,34.6,104.0,3.0,1.0,62.7,260.0,4.1,6.4,7.1,2.1,15.5,5.4,47.5,0.7,1.1,1.8,2019
5,Iowa,13,14.0,19.1,32.1,59.5,195.7,1.1,32.1,112.8,3.5,0.5,64.2,308.5,4.8,9.4,6.4,0.9,16.6,5.5,46.1,0.7,0.9,1.6,2019
6,Utah,14,15.0,17.6,31.1,56.7,187.4,1.1,26.9,81.9,3.1,0.6,58.0,269.4,4.6,8.3,5.1,1.5,14.9,5.4,47.2,0.6,1.0,1.6,2019
7,Florida,13,15.5,18.1,30.0,60.3,202.1,1.1,32.1,104.6,3.3,0.7,62.1,306.7,4.9,9.3,5.8,1.2,16.4,7.5,60.8,0.5,1.2,1.8,2019
8,Penn State,13,16.0,21.0,34.7,60.5,251.5,0.8,37.0,95.3,2.6,1.0,71.7,346.8,4.8,10.8,6.7,1.5,18.9,5.9,43.3,0.9,0.8,1.7,2019
9,Oregon,14,16.5,21.2,36.1,58.7,220.1,1.3,33.3,110.3,3.3,0.4,69.4,330.4,4.8,9.9,6.7,2.4,19.1,8.3,67.6,0.5,1.4,1.9,2019
10,Wisconsin,14,16.9,15.3,29.6,51.6,187.4,1.3,30.1,101.3,3.4,0.8,59.8,288.6,4.8,8.6,5.6,1.9,16.2,3.7,27.3,0.7,0.9,1.6,2019
11,Wyoming,13,17.8,20.5,35.7,57.3,256.7,1.2,36.5,109.1,3.0,0.8,72.2,365.8,5.1,11.8,6.9,1.7,20.5,5.3,46.6,0.6,0.9,1.5,2019
12,Notre Dame,13,17.9,15.6,28.8,54.3,168.5,1.0,39.5,152.5,3.9,0.9,68.2,321.1,4.7,7.8,9.1,1.2,18.1,4.8,41.5,1.5,0.7,2.2,2019
13,Alabama,13,18.6,17.7,31.5,56.1,187.2,1.2,35.8,137.4,3.8,0.7,67.3,324.6,4.8,9.3,7.3,2.3,19.0,5.8,48.3,0.8,1.3,2.2,2019
14,Kentucky,13,19.3,15.5,27.2,57.2,167.8,0.7,33.7,156.5,4.6,1.6,60.8,324.4,5.3,8.0,7.5,1.7,17.2,5.7,49.9,0.8,0.6,1.5,2019
15,Missouri,12,19.4,14.6,29.0,50.3,179.3,1.3,35.1,134.8,3.8,1.0,64.1,314.0,4.9,7.6,6.3,2.3,16.3,5.8,52.3,0.6,0.7,1.3,2019
16,Washington,13,19.4,22.2,35.0,63.3,222.2,1.0,32.8,129.0,3.9,1.2,67.8,351.2,5.2,10.0,8.2,1.8,19.9,5.3,44.2,0.7,1.0,1.7,2019
17,Auburn,13,19.5,20.3,34.8,58.3,213.8,1.6,34.8,123.2,3.5,0.8,69.6,337.0,4.8,9.2,7.4,2.5,19.2,7.1,58.5,1.0,0.8,1.8,2019
18,Louisiana,14,19.7,16.8,29.3,57.3,197.7,0.8,38.9,174.1,4.5,1.5,68.1,371.9,5.5,8.6,10.5,2.1,21.1,5.0,40.4,0.6,0.7,1.4,2019
19,Air Force,13,19.8,18.3,29.0,63.1,219.1,1.6,28.8,100.5,3.5,0.8,57.8,319.6,5.5,10.1,5.9,0.6,16.6,4.2,31.3,0.7,0.5,1.2,2019
20,Baylor,14,19.8,20.9,34.6,60.2,217.6,1.1,39.1,142.9,3.7,1.1,73.7,360.4,4.9,10.6,8.4,1.4,20.2,6.1,61.6,0.9,1.2,2.1,2019
21,Appalachian State,14,20.0,18.1,32.5,55.6,206.7,1.4,34.6,129.4,3.7,1.0,67.1,336.1,5.0,9.5,6.9,2.0,18.4,6.3,47.4,0.7,1.0,1.7,2019
